city,max temperature,latitude,longitude,humidity,clouds,wind,country,date
meulaboh,77.34,4.14,96.13,86,100,2.33,ID,1587074125
nazas,90.54,25.23,-104.13,6,96,2.91,MX,1587074125
lianzhou,65.05,24.78,112.38,82,7,1.88,CN,1587074125
khatanga,-0.49,71.97,102.5,88,0,11.36,RU,1587074125
lorengau,83.3,-2.02,147.27,69,99,2.17,PG,1587074126
qaqortoq,30.2,60.72,-46.03,86,100,4.7,GL,1587074126
zalantun,44.01,48.0,122.72,70,100,3.0,CN,1587074126
shorapur,80.87,16.52,76.75,36,52,1.77,IN,1587074126
tasiilaq,30.2,65.61,-37.64,92,100,26.4,GL,1587074058
hobart,46.99,-42.88,147.33,70,20,17.22,AU,1587074086
fortuna,64.0,40.6,-124.16,93,1,17.22,US,1587074126
hermanus,60.01,-34.42,19.23,94,100,1.21,ZA,1587074126
busselton,54.0,-33.65,115.33,58,17,9.19,AU,1587074127
najran,77.0,17.49,44.13,50,5,6.93,SA,1587073874
bluff,45.0,-46.6,168.33,95,100,5.01,NZ,1587074127
oranjestad,86.0,12.52,-70.03,62,20,21.92,AW,1587074127
port alfred,60.01,-33.59,26.89,88,0,3.0,ZA,1587074127
muhos,33.8,64.81,25.99,69,100,12.75,FI,1587074127
piacabucu,80.1,-10.41,-36.43,83,15,9.53,BR,1587074128
hay river,39.2,60.82,-115.8,60,75,8.05,CA,1587074128
jamestown,39.2,42.1,-79.24,47,75,16.11,US,1587074070
bowen,75.99,-20.02,148.23,88,90,5.82,AU,1587074128
camaqua,65.95,-30.85,-51.81,73,23,4.54,BR,1587074128
kapaa,80.6,22.08,-159.32,65,40,12.75,US,1587074128
iqaluit,12.2,63.75,-68.51,72,75,24.16,CA,1587074129
chudniv,45.72,50.05,28.12,70,100,9.04,UA,1587074129
norman wells,41.0,65.28,-126.83,93,90,10.29,CA,1587074049
rikitea,76.37,-23.12,-134.97,76,34,12.3,PF,1587074058
catuday,78.66,16.29,119.81,79,22,7.99,PH,1587074129
albany,44.01,42.6,-73.97,28,75,18.34,US,1587073996
new norfolk,46.99,-42.78,147.06,70,20,17.22,AU,1587074130
punta arenas,50.0,-53.15,-70.92,87,75,6.93,CL,1587074026
longyearbyen,30.2,78.22,15.64,74,75,6.93,SJ,1587074130
grand gaube,77.0,-20.01,57.66,69,40,11.41,MU,1587074130
sindou,90.86,10.67,-5.17,18,7,3.53,BF,1587074130
qingdao,52.0,36.1,120.37,93,24,2.24,CN,1587073976
puerto ayora,82.0,-0.74,-90.35,88,75,19.46,EC,1587073891
majene,77.85,-3.54,118.97,85,24,4.14,ID,1587074131
mareeba,77.0,-17.0,145.43,88,31,8.05,AU,1587074131
torbay,37.99,47.67,-52.73,64,75,21.92,CA,1587074131
santa cruz,84.2,-17.8,-63.17,32,20,11.41,BO,1587073889
zhigansk,-7.38,66.77,123.37,87,5,15.57,RU,1587074132
opelousas,75.2,30.53,-92.08,27,1,8.05,US,1587074132
bathsheba,82.4,13.22,-59.52,65,40,17.22,BB,1587074086
mataura,45.0,-46.19,168.86,95,100,5.01,NZ,1587074133
nelson bay,70.0,-32.72,152.15,83,75,1.12,AU,1587073968
mar del plata,62.6,-38.0,-57.56,77,0,4.7,AR,1587074057
togur,33.89,58.36,82.83,94,67,2.64,RU,1587074133
gat,62.6,31.61,34.76,77,20,4.7,IL,1587074133
bambous virieux,77.0,-20.34,57.76,69,40,11.41,MU,1587074085
tuatapere,45.0,-46.13,167.68,95,100,5.01,NZ,1587074134
sistranda,37.99,63.73,8.83,74,75,20.8,NO,1587074134
guerrero negro,76.08,27.98,-114.06,26,100,13.06,MX,1587073840
qandala,85.14,11.47,49.87,67,21,10.78,SO,1587074134
kodiak,44.6,57.79,-152.41,81,90,5.82,US,1587074134
salinopolis,81.93,-0.61,-47.36,75,89,5.39,BR,1587074062
cape town,60.8,-33.93,18.42,87,100,5.82,ZA,1587074070
cabo san lucas,84.99,22.89,-109.91,41,40,9.17,MX,1587074135
aswan,82.4,24.09,32.91,13,90,11.41,EG,1587074135
kamennomostskiy,36.59,44.3,40.19,68,10,7.09,RU,1587074135
hastings,54.0,50.86,0.57,93,11,6.93,GB,1587074135
yellowknife,30.2,62.46,-114.35,68,90,12.75,CA,1587074135
nioro,89.04,13.35,-15.75,21,49,5.97,GM,1587074135
vaini,78.8,-21.2,-175.2,78,75,5.82,TO,1587074070
vila franca do campo,57.2,37.72,-25.43,76,20,5.82,PT,1587074061
katobu,76.06,-4.94,122.53,90,1,3.4,ID,1587074079
darhan,42.58,49.49,105.92,43,2,1.12,MN,1587074136
richards bay,69.96,-28.78,32.04,76,5,4.43,ZA,1587074136
rio grande,66.0,-32.03,-52.1,79,10,1.01,BR,1587074082
nemuro,32.59,43.32,145.57,91,0,7.23,JP,1587074136
saint-augustin,30.29,51.23,-58.65,90,94,10.58,CA,1587074136
arraial do cabo,77.0,-22.97,-42.03,83,40,2.24,BR,1587074137
sayansk,37.6,54.11,102.16,70,99,3.94,RU,1587074137
omboue,78.17,-1.57,9.26,92,100,9.44,GA,1587073880
cherskiy,5.38,68.75,161.3,92,43,0.78,RU,1587074137
