city,max temperature,latitude,longitude,humidity,clouds,wind,country,date
bubaque,79.5,11.28,-15.83,47,96,9.98,GW,1587213799
pringsewu,77.04,-5.36,104.97,87,96,2.62,ID,1587213799
salvador,73.4,13.83,-88.92,73,46,3.36,SV,1587213794
tuatapere,48.0,-46.13,167.68,92,91,3.0,NZ,1587213800
salinas,55.4,36.68,-121.66,76,90,6.93,US,1587213540
arraial do cabo,75.2,-22.97,-42.03,78,40,13.87,BR,1587213800
estelle,72.0,29.85,-90.11,100,90,3.36,US,1587213800
port lincoln,61.14,-34.73,135.87,72,9,4.92,AU,1587213801
severo-kurilsk,31.01,50.68,156.12,93,0,10.89,RU,1587213801
piranshahr,61.52,36.7,45.14,28,1,5.46,IR,1587213801
hermanus,88.0,-34.42,19.23,30,9,4.0,ZA,1587213801
khatanga,17.55,71.97,102.5,94,0,8.75,RU,1587213801
jumla,55.09,29.27,82.18,27,73,2.24,NP,1587213585
cape town,86.0,-33.93,18.42,17,26,4.7,ZA,1587213660
busselton,63.0,-33.65,115.33,57,100,10.47,AU,1587213802
kapaa,73.4,22.08,-159.32,73,20,11.41,US,1587213802
hobart,48.99,-42.88,147.33,75,75,6.69,AU,1587213802
rikitea,76.8,-23.12,-134.97,69,10,6.02,PF,1587213802
ugoofaaru,86.67,5.67,73.0,70,84,9.26,MV,1587213802
bose,75.0,45.46,8.01,32,100,3.78,IT,1587213803
cabo san lucas,64.0,22.89,-109.91,87,5,14.99,MX,1587213803
cabedelo,86.0,-6.98,-34.83,74,40,4.7,BR,1587213803
punta arenas,39.2,-53.15,-70.92,80,0,13.87,CL,1587213613
ust-kuyga,-8.27,70.02,135.6,83,1,1.52,RU,1587213803
vaini,77.0,-21.2,-175.2,78,40,9.17,TO,1587213803
hervey bay,75.99,-25.3,152.85,88,87,9.17,AU,1587213804
bredasdorp,86.0,-34.53,20.04,36,9,10.29,ZA,1587213804
jamestown,30.99,42.1,-79.24,100,40,6.93,US,1587213804
bambanglipuro,80.8,-7.95,110.28,81,100,3.78,ID,1587213804
bilibino,-7.78,68.05,166.44,83,10,6.4,RU,1587213804
mbandaka,82.6,0.05,18.26,70,98,5.06,CD,1587213804
airai,62.51,-8.93,125.41,70,56,2.04,TL,1587213804
chuy,64.15,-33.7,-53.46,80,1,0.6,UY,1587213805
shache,59.59,38.42,77.24,39,100,12.24,CN,1587213805
coruripe,83.57,-10.13,-36.18,68,25,3.4,BR,1587213554
poddorye,40.95,57.47,31.12,68,100,11.41,RU,1587213805
rio grande,61.0,-32.03,-52.1,100,90,3.36,BR,1587213663
dikson,34.65,73.51,80.55,91,100,14.92,RU,1587213805
hithadhoo,84.58,-0.6,73.08,71,80,12.88,MV,1587213806
lorengau,83.8,-2.02,147.27,73,99,4.99,PG,1587213806
bluff,48.0,-46.6,168.33,92,65,3.0,NZ,1587213806
tuktoyaktuk,14.86,69.45,-133.04,97,100,9.71,CA,1587213806
kavieng,83.19,-2.57,150.8,76,98,7.14,PG,1587213806
pemangkat,78.33,1.17,108.97,83,93,4.25,ID,1587213806
mataura,48.0,-46.19,168.86,92,65,3.0,NZ,1587213806
kapasan,81.61,-6.78,111.38,79,100,5.66,ID,1587213806
struer,59.0,56.49,8.58,31,48,1.99,DK,1587213807
bengkulu,80.91,-3.8,102.27,77,93,1.68,ID,1587213737
mabaruma,81.03,8.2,-59.78,70,31,5.7,GY,1587213807
albany,35.01,42.6,-73.97,89,100,6.06,US,1587213807
norman wells,28.4,65.28,-126.83,86,75,3.36,CA,1587213807
tasiilaq,32.0,65.61,-37.64,88,75,16.11,GL,1587213808
klaksvik,46.4,62.23,-6.59,75,0,19.46,FO,1587213808
east london,77.0,-33.02,27.91,73,20,11.41,ZA,1587213808
butaritari,83.57,3.07,172.79,76,86,15.97,KI,1587213808
beringovskiy,16.77,63.05,179.32,96,100,20.94,RU,1587213808
taltal,65.25,-25.4,-70.48,66,26,0.67,CL,1587213573
lavrentiya,19.47,65.58,-171.0,96,100,18.72,RU,1587213808
shimoda,57.99,34.67,138.95,72,2,1.99,JP,1587213809
castro,57.63,-24.79,-50.01,59,60,6.62,BR,1587213540
mar del plata,57.99,-38.0,-57.56,93,40,11.41,AR,1587213562
igarka,36.75,67.47,86.58,96,100,18.59,RU,1587213809
barrow,-2.2,71.29,-156.79,77,1,8.05,US,1587213809
kokoda,76.35,-8.88,147.74,68,99,1.52,PG,1587213809
borodino,40.91,55.91,94.9,62,78,8.55,RU,1587213810
adrar,84.0,20.5,-10.07,25,93,14.18,MR,1587213810
karratha,86.09,-20.74,116.85,57,89,11.27,AU,1587213796
ushuaia,50.0,-54.8,-68.3,34,75,17.22,AR,1587213789
saint-philippe,81.0,-21.36,55.77,74,16,23.04,RE,1587213810
nikolskoye,42.8,59.7,30.79,56,75,20.13,RU,1587213811
bethel,36.0,41.37,-73.41,93,90,6.93,US,1587213811
zatoka,59.0,46.07,30.47,33,94,2.24,UA,1587213811
tiksi,10.87,71.69,128.87,93,100,5.55,RU,1587213811
atuona,81.82,-9.8,-139.03,74,35,13.02,PF,1587213811
isangel,78.58,-19.55,169.27,83,100,10.0,VU,1587213812
clyde river,12.2,70.47,-68.59,85,90,16.11,CA,1587213812
ocampo,55.78,21.65,-101.5,29,75,1.48,MX,1587213812
muros,61.0,42.78,-9.06,87,73,1.01,ES,1587213812
juneau,39.0,58.3,-134.42,64,20,2.93,US,1587213812
new norfolk,48.99,-42.78,147.06,81,89,3.71,AU,1587213812
kodiak,41.0,57.79,-152.41,86,90,3.36,US,1587213812
mehriz,73.4,31.59,54.43,31,75,2.24,IR,1587213813
